word,meaning,image 
abandon,"{'Noun': ['the trait of lacking restraint or control; reckless freedom from inhibition or worry', 'a feeling of extreme emotional intensity'], 'Verb': ['forsake, leave behind', 'give up with the intent of never claiming again', 'leave behind empty; move out of', 'stop maintaining or insisting on; of ideas or claims', 'leave someone who needs or counts on you; leave in the lurch']}",https://pixabay.com/get/g9dcddfdbc141485dc4b28cc6e230d8f884cbcc72c46478c27f380596a3614b7d95eff8c7e2e79f6246013085b78b4c69fa2ff79867b731df39b7db06b7038c48_1280.jpg
abase,{'Verb': ['cause to feel shame; hurt the pride of']},
abate,"{'Verb': ['make less active or intense', 'become less in amount or intensity']}",https://pixabay.com/get/g7c52589e1ad50c98a3eb9bd364c2cde995c9a0505cb5d599de1b8538ef51e6d1eba109c78f3cfe17aed05b6b1118bca5295b3d2f10b3f5b1e8cd51e74b43c082_1280.jpg
abbreviate,"{'Verb': ['reduce in scope while retaining essential elements', 'shorten']}",https://pixabay.com/get/ga214871915e87f6f3d43782e89fde96ab6de11c8a5b3e9f434afbb1499a2c01de4d1fe976b498f8f14041eb7c2e0c64d12d9c5e23aec32668ec1372cf749ba03_1280.jpg
abdicate,"{'Verb': ['give up, such as power, as of monarchs and emperors, or duties and obligations']}",
abdication,"{'Noun': ['a formal resignation and renunciation of powers', 'the act of abdicating']}",
aberration,"{'Noun': ['a state or condition markedly different from the norm', ""a disorder in one's mental state"", 'an optical phenomenon resulting from the failure of a lens or mirror to produce a good image']}",https://pixabay.com/get/g59f36d5c1940ae0c7a7499d974d17280f1f51b11e8d50137c5e9459c4bbbcb28d155776b074cc46a468611af91f0fc869e845e9632af301f1f50eac32d0b65ca_1280.jpg
abet,"{'Verb': ['assist or encourage, usually in some wrongdoing']}",https://pixabay.com/get/g0914e056fcf8c9fc00cefa55cd10e2a94b3c1a09bfa65d21a4a337601c758149143ca524980e488f58c86e0b9660ec8cf231fe1f9d7539093db3a462553f4fb1_1280.jpg
abhor,{'Verb': ['find repugnant']},
abide,{'Verb': ['put up with something or somebody unpleasant']},
abjure,"{'Verb': ['formally reject or disavow a formerly held belief, usually under pressure']}",
ablution,"{'Noun': [""the ritual washing of a priest's hands or of sacred vessels""]}",https://pixabay.com/get/gefa5ac29555d0ce223ff523cac83cd387a7b897e64dcc9d625b1d2b209aa113f09027ebf9d6eda552d812f3a90f53a53ee4d3aca4a6a39d0f75eeed087b6a8a5_1280.jpg
abridgement,{'Noun': ['a shortened version of a written work']},
abscond,{'Verb': ['run away; usually includes taking something or somebody along']},
abstruse,{'Adjective': ['difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge']},
abysmal,"{'Adjective': ['very great; limitless', 'resembling an abyss in depth; so deep as to be unmeasurable']}",
abyss,"{'Noun': ['a bottomless gulf or pit; any unfathomable (or apparently unfathomable', 'often used figuratively']}",https://pixabay.com/get/gd635d486008f9b751b72251cb103bc46c20cbeb0afbd6f80b640af48b5329db09c924f1fb2a0d0518f6de883c16e2ced84b26e60d15722de20cb23b01791341b_1280.jpg
accede,"{'Verb': [""yield to another's wish or opinion"", 'take on duties or office', 'to agree or express agreement']}",
acclaimed,"{'Verb': ['praise vociferously', ""clap one's hands or shout after performances to indicate approval""]}",https://pixabay.com/get/g746d569938302efaef75f07feff164c649e9ada4459a37e7a3778e9e91d2346a9ed4b079f2d400a8c98e1f8f05948a4c89d299f55b45f44c98882d1735746851_1280.jpg
accolade,{'Noun': ['a tangible symbol signifying approval or distinction']},https://pixabay.com/get/g47b6d3c5d01be6413f63353ecd177e62e0ceade52ea2d6af9213a48076855a7d31ab8d0d4dee665e7b9520874531efcbf7a04cb45e45168da263db2b1a697bb6_1280.jpg
accost,"{'Verb': ['speak to someone', 'approach with an offer of sexual favors']}",
accredit,"{'Verb': ['grant credentials to', 'provide or send (envoys or embassadors', 'ascribe an achievement to']}",
acomplice,,
acquaint,"{'Verb': ['cause to come to know personally', 'make familiar or conversant with', 'inform']}",https://pixabay.com/get/g915f807d4b10c127249b9df8903f4c97d9a75cef400e3be5bfda91f5c30bdc7c6cb7a34ed2bdca71e101bd74c16ae87a2d80ae4007c20ba9c9f6dbb7e940e4f2_1280.jpg
acquit,"{'Verb': ['pronounce not guilty of criminal charges', 'behave in a certain manner']}",https://pixabay.com/get/g929b99683bee7018c83d2479c3fdb4be84bdaa32d43e40bca64a44daf11e1342bf8d04a4bffe788006fe6c453707cd10c7a06d01d39296ad68ba9fddaf71a300_1280.jpg
